Year,State,State_clearance,Homicide_count,Homicide_Clearence,month,year
01-1985,Alabama,Alabama Clearances,37,32,1,1985
02-1985,Alabama,Alabama Clearances,24,17,2,1985
03-1985,Alabama,Alabama Clearances,38,27,3,1985
04-1985,Alabama,Alabama Clearances,28,21,4,1985
05-1985,Alabama,Alabama Clearances,32,22,5,1985
06-1985,Alabama,Alabama Clearances,33,24,6,1985
07-1985,Alabama,Alabama Clearances,49,44,7,1985
08-1985,Alabama,Alabama Clearances,26,22,8,1985
09-1985,Alabama,Alabama Clearances,32,30,9,1985
10-1985,Alabama,Alabama Clearances,32,25,10,1985
11-1985,Alabama,Alabama Clearances,27,20,11,1985
12-1985,Alabama,Alabama Clearances,31,30,12,1985
01-1986,Alabama,Alabama Clearances,27,26,1,1986
02-1986,Alabama,Alabama Clearances,38,29,2,1986
03-1986,Alabama,Alabama Clearances,34,31,3,1986
04-1986,Alabama,Alabama Clearances,31,33,4,1986
05-1986,Alabama,Alabama Clearances,38,31,5,1986
06-1986,Alabama,Alabama Clearances,33,33,6,1986
07-1986,Alabama,Alabama Clearances,47,43,7,1986
08-1986,Alabama,Alabama Clearances,28,17,8,1986
09-1986,Alabama,Alabama Clearances,35,36,9,1986
10-1986,Alabama,Alabama Clearances,29,21,10,1986
11-1986,Alabama,Alabama Clearances,19,17,11,1986
12-1986,Alabama,Alabama Clearances,38,32,12,1986
01-1987,Alabama,Alabama Clearances,35,27,1,1987
02-1987,Alabama,Alabama Clearances,26,19,2,1987
03-1987,Alabama,Alabama Clearances,32,30,3,1987
04-1987,Alabama,Alabama Clearances,18,18,4,1987
05-1987,Alabama,Alabama Clearances,36,22,5,1987
06-1987,Alabama,Alabama Clearances,32,20,6,1987
07-1987,Alabama,Alabama Clearances,33,25,7,1987
08-1987,Alabama,Alabama Clearances,33,22,8,1987
09-1987,Alabama,Alabama Clearances,24,18,9,1987
10-1987,Alabama,Alabama Clearances,39,30,10,1987
11-1987,Alabama,Alabama Clearances,37,27,11,1987
12-1987,Alabama,Alabama Clearances,32,26,12,1987
01-1988,Alabama,Alabama Clearances,22,18,1,1988
02-1988,Alabama,Alabama Clearances,35,25,2,1988
03-1988,Alabama,Alabama Clearances,34,27,3,1988
04-1988,Alabama,Alabama Clearances,31,26,4,1988
05-1988,Alabama,Alabama Clearances,28,23,5,1988
06-1988,Alabama,Alabama Clearances,27,23,6,1988
07-1988,Alabama,Alabama Clearances,38,33,7,1988
08-1988,Alabama,Alabama Clearances,37,31,8,1988
09-1988,Alabama,Alabama Clearances,41,35,9,1988
10-1988,Alabama,Alabama Clearances,32,28,10,1988
11-1988,Alabama,Alabama Clearances,25,16,11,1988
12-1988,Alabama,Alabama Clearances,33,24,12,1988
01-1989,Alabama,Alabama Clearances,36,27,1,1989
02-1989,Alabama,Alabama Clearances,18,12,2,1989
03-1989,Alabama,Alabama Clearances,24,23,3,1989
04-1989,Alabama,Alabama Clearances,49,48,4,1989
05-1989,Alabama,Alabama Clearances,35,35,5,1989
06-1989,Alabama,Alabama Clearances,26,22,6,1989
07-1989,Alabama,Alabama Clearances,36,23,7,1989
08-1989,Alabama,Alabama Clearances,37,39,8,1989
09-1989,Alabama,Alabama Clearances,34,33,9,1989
10-1989,Alabama,Alabama Clearances,39,34,10,1989
11-1989,Alabama,Alabama Clearances,27,25,11,1989
12-1989,Alabama,Alabama Clearances,44,33,12,1989
01-1990,Alabama,Alabama Clearances,15,5,1,1990
02-1990,Alabama,Alabama Clearances,20,7,2,1990
03-1990,Alabama,Alabama Clearances,14,8,3,1990
04-1990,Alabama,Alabama Clearances,30,16,4,1990
05-1990,Alabama,Alabama Clearances,10,6,5,1990
06-1990,Alabama,Alabama Clearances,18,7,6,1990
07-1990,Alabama,Alabama Clearances,26,18,7,1990
08-1990,Alabama,Alabama Clearances,20,7,8,1990
09-1990,Alabama,Alabama Clearances,23,10,9,1990
10-1990,Alabama,Alabama Clearances,21,15,10,1990
11-1990,Alabama,Alabama Clearances,14,3,11,1990
12-1990,Alabama,Alabama Clearances,242,18,12,1990
01-1991,Alabama,Alabama Clearances,1,0,1,1991
02-1991,Alabama,Alabama Clearances,1,0,2,1991
03-1991,Alabama,Alabama Clearances,57,43,3,1991
04-1991,Alabama,Alabama Clearances,5,0,4,1991
05-1991,Alabama,Alabama Clearances,2,0,5,1991
06-1991,Alabama,Alabama Clearances,57,43,6,1991
07-1991,Alabama,Alabama Clearances,0,0,7,1991
08-1991,Alabama,Alabama Clearances,0,0,8,1991
09-1991,Alabama,Alabama Clearances,58,43,9,1991
10-1991,Alabama,Alabama Clearances,0,0,10,1991
11-1991,Alabama,Alabama Clearances,0,0,11,1991
12-1991,Alabama,Alabama Clearances,258,186,12,1991
01-1992,Alabama,Alabama Clearances,0,0,1,1992
02-1992,Alabama,Alabama Clearances,0,0,2,1992
03-1992,Alabama,Alabama Clearances,57,38,3,1992
04-1992,Alabama,Alabama Clearances,0,0,4,1992
05-1992,Alabama,Alabama Clearances,0,0,5,1992
06-1992,Alabama,Alabama Clearances,57,38,6,1992
07-1992,Alabama,Alabama Clearances,0,0,7,1992
08-1992,Alabama,Alabama Clearances,0,0,8,1992
09-1992,Alabama,Alabama Clearances,57,38,9,1992
10-1992,Alabama,Alabama Clearances,0,0,10,1992
11-1992,Alabama,Alabama Clearances,0,0,11,1992
12-1992,Alabama,Alabama Clearances,244,184,12,1992
01-1993,Alabama,Alabama Clearances,9,0,1,1993
02-1993,Alabama,Alabama Clearances,5,0,2,1993
03-1993,Alabama,Alabama Clearances,33,0,3,1993
04-1993,Alabama,Alabama Clearances,6,0,4,1993
05-1993,Alabama,Alabama Clearances,11,0,5,1993
06-1993,Alabama,Alabama Clearances,38,0,6,1993
07-1993,Alabama,Alabama Clearances,24,0,7,1993
08-1993,Alabama,Alabama Clearances,17,0,8,1993
09-1993,Alabama,Alabama Clearances,17,0,9,1993
10-1993,Alabama,Alabama Clearances,20,0,10,1993
11-1993,Alabama,Alabama Clearances,21,0,11,1993
12-1993,Alabama,Alabama Clearances,269,0,12,1993
01-1994,Alabama,Alabama Clearances,19,0,1,1994
02-1994,Alabama,Alabama Clearances,18,0,2,1994
03-1994,Alabama,Alabama Clearances,18,0,3,1994
04-1994,Alabama,Alabama Clearances,18,0,4,1994
05-1994,Alabama,Alabama Clearances,19,0,5,1994
06-1994,Alabama,Alabama Clearances,18,0,6,1994
07-1994,Alabama,Alabama Clearances,20,0,7,1994
08-1994,Alabama,Alabama Clearances,20,0,8,1994
09-1994,Alabama,Alabama Clearances,21,0,9,1994
10-1994,Alabama,Alabama Clearances,24,0,10,1994
11-1994,Alabama,Alabama Clearances,23,0,11,1994
12-1994,Alabama,Alabama Clearances,275,0,12,1994
01-1995,Alabama,Alabama Clearances,12,0,1,1995
02-1995,Alabama,Alabama Clearances,14,0,2,1995
03-1995,Alabama,Alabama Clearances,27,0,3,1995
04-1995,Alabama,Alabama Clearances,14,0,4,1995
05-1995,Alabama,Alabama Clearances,14,0,5,1995
06-1995,Alabama,Alabama Clearances,27,0,6,1995
07-1995,Alabama,Alabama Clearances,17,0,7,1995
08-1995,Alabama,Alabama Clearances,22,0,8,1995
09-1995,Alabama,Alabama Clearances,20,0,9,1995
10-1995,Alabama,Alabama Clearances,17,0,10,1995
11-1995,Alabama,Alabama Clearances,20,0,11,1995
12-1995,Alabama,Alabama Clearances,262,127,12,1995
01-1996,Alabama,Alabama Clearances,16,0,1,1996
02-1996,Alabama,Alabama Clearances,16,0,2,1996
03-1996,Alabama,Alabama Clearances,16,0,3,1996
04-1996,Alabama,Alabama Clearances,17,1,4,1996
05-1996,Alabama,Alabama Clearances,18,2,5,1996
06-1996,Alabama,Alabama Clearances,16,0,6,1996
07-1996,Alabama,Alabama Clearances,16,0,7,1996
08-1996,Alabama,Alabama Clearances,16,0,8,1996
09-1996,Alabama,Alabama Clearances,17,1,9,1996
10-1996,Alabama,Alabama Clearances,16,0,10,1996
11-1996,Alabama,Alabama Clearances,17,0,11,1996
12-1996,Alabama,Alabama Clearances,257,102,12,1996
01-1997,Alabama,Alabama Clearances,0,0,1,1997
02-1997,Alabama,Alabama Clearances,1,1,2,1997
03-1997,Alabama,Alabama Clearances,0,0,3,1997
04-1997,Alabama,Alabama Clearances,0,0,4,1997
05-1997,Alabama,Alabama Clearances,0,0,5,1997
06-1997,Alabama,Alabama Clearances,98,1,6,1997
07-1997,Alabama,Alabama Clearances,0,0,7,1997
08-1997,Alabama,Alabama Clearances,0,0,8,1997
09-1997,Alabama,Alabama Clearances,0,0,9,1997
10-1997,Alabama,Alabama Clearances,0,0,10,1997
11-1997,Alabama,Alabama Clearances,2,3,11,1997
12-1997,Alabama,Alabama Clearances,312,150,12,1997
01-1998,Alabama,Alabama Clearances,4,0,1,1998
02-1998,Alabama,Alabama Clearances,3,0,2,1998
03-1998,Alabama,Alabama Clearances,4,0,3,1998
04-1998,Alabama,Alabama Clearances,2,0,4,1998
05-1998,Alabama,Alabama Clearances,4,0,5,1998
06-1998,Alabama,Alabama Clearances,79,11,6,1998
07-1998,Alabama,Alabama Clearances,3,0,7,1998
08-1998,Alabama,Alabama Clearances,4,1,8,1998
09-1998,Alabama,Alabama Clearances,4,1,9,1998
10-1998,Alabama,Alabama Clearances,1,0,10,1998
11-1998,Alabama,Alabama Clearances,4,0,11,1998
12-1998,Alabama,Alabama Clearances,232,110,12,1998
01-1999,Alabama,Alabama Clearances,1,0,1,1999
02-1999,Alabama,Alabama Clearances,0,0,2,1999
03-1999,Alabama,Alabama Clearances,0,0,3,1999
04-1999,Alabama,Alabama Clearances,0,0,4,1999
05-1999,Alabama,Alabama Clearances,0,0,5,1999
06-1999,Alabama,Alabama Clearances,0,0,6,1999
07-1999,Alabama,Alabama Clearances,2,2,7,1999
08-1999,Alabama,Alabama Clearances,1,1,8,1999
09-1999,Alabama,Alabama Clearances,0,0,9,1999
10-1999,Alabama,Alabama Clearances,0,0,10,1999
11-1999,Alabama,Alabama Clearances,1,1,11,1999
12-1999,Alabama,Alabama Clearances,334,148,12,1999
01-2000,Alabama,Alabama Clearances,1,1,1,2000
02-2000,Alabama,Alabama Clearances,1,1,2,2000
03-2000,Alabama,Alabama Clearances,1,0,3,2000
04-2000,Alabama,Alabama Clearances,1,1,4,2000
05-2000,Alabama,Alabama Clearances,1,1,5,2000
06-2000,Alabama,Alabama Clearances,71,0,6,2000
07-2000,Alabama,Alabama Clearances,0,0,7,2000
08-2000,Alabama,Alabama Clearances,0,0,8,2000
09-2000,Alabama,Alabama Clearances,1,1,9,2000
10-2000,Alabama,Alabama Clearances,1,1,10,2000
11-2000,Alabama,Alabama Clearances,0,0,11,2000
12-2000,Alabama,Alabama Clearances,205,70,12,2000
01-2001,Alabama,Alabama Clearances,0,0,1,2001
02-2001,Alabama,Alabama Clearances,0,0,2,2001
03-2001,Alabama,Alabama Clearances,0,0,3,2001
04-2001,Alabama,Alabama Clearances,0,0,4,2001
05-2001,Alabama,Alabama Clearances,0,0,5,2001
06-2001,Alabama,Alabama Clearances,71,3,6,2001
07-2001,Alabama,Alabama Clearances,0,0,7,2001
08-2001,Alabama,Alabama Clearances,0,0,8,2001
09-2001,Alabama,Alabama Clearances,0,0,9,2001
10-2001,Alabama,Alabama Clearances,0,0,10,2001
11-2001,Alabama,Alabama Clearances,2,0,11,2001
12-2001,Alabama,Alabama Clearances,253,110,12,2001
01-2002,Alabama,Alabama Clearances,0,0,1,2002
02-2002,Alabama,Alabama Clearances,0,0,2,2002
03-2002,Alabama,Alabama Clearances,0,0,3,2002
04-2002,Alabama,Alabama Clearances,0,0,4,2002
05-2002,Alabama,Alabama Clearances,0,0,5,2002
06-2002,Alabama,Alabama Clearances,71,1,6,2002
07-2002,Alabama,Alabama Clearances,2,2,7,2002
08-2002,Alabama,Alabama Clearances,0,0,8,2002
09-2002,Alabama,Alabama Clearances,1,1,9,2002
10-2002,Alabama,Alabama Clearances,0,0,10,2002
11-2002,Alabama,Alabama Clearances,0,0,11,2002
12-2002,Alabama,Alabama Clearances,206,147,12,2002
01-2003,Alabama,Alabama Clearances,0,0,1,2003
02-2003,Alabama,Alabama Clearances,1,1,2,2003
03-2003,Alabama,Alabama Clearances,1,1,3,2003
04-2003,Alabama,Alabama Clearances,0,0,4,2003
05-2003,Alabama,Alabama Clearances,0,0,5,2003
06-2003,Alabama,Alabama Clearances,70,1,6,2003
07-2003,Alabama,Alabama Clearances,0,0,7,2003
08-2003,Alabama,Alabama Clearances,0,0,8,2003
09-2003,Alabama,Alabama Clearances,0,0,9,2003
10-2003,Alabama,Alabama Clearances,1,1,10,2003
11-2003,Alabama,Alabama Clearances,0,0,11,2003
12-2003,Alabama,Alabama Clearances,215,135,12,2003
01-2004,Alabama,Alabama Clearances,0,0,1,2004
02-2004,Alabama,Alabama Clearances,0,0,2,2004
03-2004,Alabama,Alabama Clearances,0,0,3,2004
04-2004,Alabama,Alabama Clearances,1,0,4,2004
05-2004,Alabama,Alabama Clearances,0,0,5,2004
06-2004,Alabama,Alabama Clearances,55,0,6,2004
07-2004,Alabama,Alabama Clearances,0,0,7,2004
08-2004,Alabama,Alabama Clearances,0,0,8,2004
09-2004,Alabama,Alabama Clearances,1,1,9,2004
10-2004,Alabama,Alabama Clearances,0,0,10,2004
11-2004,Alabama,Alabama Clearances,0,0,11,2004
12-2004,Alabama,Alabama Clearances,190,133,12,2004
01-2005,Alabama,Alabama Clearances,1,0,1,2005
02-2005,Alabama,Alabama Clearances,1,1,2,2005
03-2005,Alabama,Alabama Clearances,0,0,3,2005
04-2005,Alabama,Alabama Clearances,0,0,4,2005
05-2005,Alabama,Alabama Clearances,1,0,5,2005
06-2005,Alabama,Alabama Clearances,72,0,6,2005
07-2005,Alabama,Alabama Clearances,1,1,7,2005
08-2005,Alabama,Alabama Clearances,0,0,8,2005
09-2005,Alabama,Alabama Clearances,1,1,9,2005
10-2005,Alabama,Alabama Clearances,0,0,10,2005
11-2005,Alabama,Alabama Clearances,1,1,11,2005
12-2005,Alabama,Alabama Clearances,230,116,12,2005
01-2006,Alabama,Alabama Clearances,1,1,1,2006
02-2006,Alabama,Alabama Clearances,2,1,2,2006
03-2006,Alabama,Alabama Clearances,1,0,3,2006
04-2006,Alabama,Alabama Clearances,0,0,4,2006
05-2006,Alabama,Alabama Clearances,0,0,5,2006
06-2006,Alabama,Alabama Clearances,87,0,6,2006
07-2006,Alabama,Alabama Clearances,0,0,7,2006
08-2006,Alabama,Alabama Clearances,0,0,8,2006
09-2006,Alabama,Alabama Clearances,0,0,9,2006
10-2006,Alabama,Alabama Clearances,1,0,10,2006
11-2006,Alabama,Alabama Clearances,2,1,11,2006
12-2006,Alabama,Alabama Clearances,218,138,12,2006
01-2007,Alabama,Alabama Clearances,0,0,1,2007
02-2007,Alabama,Alabama Clearances,0,0,2,2007
03-2007,Alabama,Alabama Clearances,1,1,3,2007
04-2007,Alabama,Alabama Clearances,1,0,4,2007
05-2007,Alabama,Alabama Clearances,1,1,5,2007
06-2007,Alabama,Alabama Clearances,85,0,6,2007
07-2007,Alabama,Alabama Clearances,0,0,7,2007
08-2007,Alabama,Alabama Clearances,2,1,8,2007
09-2007,Alabama,Alabama Clearances,0,0,9,2007
10-2007,Alabama,Alabama Clearances,2,0,10,2007
11-2007,Alabama,Alabama Clearances,0,0,11,2007
12-2007,Alabama,Alabama Clearances,259,184,12,2007
01-2008,Alabama,Alabama Clearances,2,2,1,2008
02-2008,Alabama,Alabama Clearances,1,1,2,2008
03-2008,Alabama,Alabama Clearances,1,0,3,2008
04-2008,Alabama,Alabama Clearances,1,0,4,2008
05-2008,Alabama,Alabama Clearances,0,0,5,2008
06-2008,Alabama,Alabama Clearances,82,2,6,2008
07-2008,Alabama,Alabama Clearances,1,1,7,2008
08-2008,Alabama,Alabama Clearances,0,0,8,2008
09-2008,Alabama,Alabama Clearances,0,0,9,2008
10-2008,Alabama,Alabama Clearances,1,1,10,2008
11-2008,Alabama,Alabama Clearances,1,0,11,2008
12-2008,Alabama,Alabama Clearances,246,242,12,2008
01-2009,Alabama,Alabama Clearances,0,0,1,2009
02-2009,Alabama,Alabama Clearances,0,0,2,2009
03-2009,Alabama,Alabama Clearances,0,0,3,2009
04-2009,Alabama,Alabama Clearances,0,0,4,2009
05-2009,Alabama,Alabama Clearances,0,0,5,2009
06-2009,Alabama,Alabama Clearances,78,2,6,2009
07-2009,Alabama,Alabama Clearances,0,0,7,2009
08-2009,Alabama,Alabama Clearances,1,1,8,2009
09-2009,Alabama,Alabama Clearances,1,0,9,2009
10-2009,Alabama,Alabama Clearances,3,2,10,2009
11-2009,Alabama,Alabama Clearances,0,0,11,2009
12-2009,Alabama,Alabama Clearances,235,168,12,2009
01-2010,Alabama,Alabama Clearances,0,0,1,2010
02-2010,Alabama,Alabama Clearances,0,0,2,2010
03-2010,Alabama,Alabama Clearances,0,0,3,2010
04-2010,Alabama,Alabama Clearances,0,0,4,2010
05-2010,Alabama,Alabama Clearances,0,0,5,2010
06-2010,Alabama,Alabama Clearances,53,0,6,2010
07-2010,Alabama,Alabama Clearances,0,0,7,2010
08-2010,Alabama,Alabama Clearances,0,0,8,2010
09-2010,Alabama,Alabama Clearances,0,0,9,2010
10-2010,Alabama,Alabama Clearances,0,0,10,2010
11-2010,Alabama,Alabama Clearances,0,0,11,2010
12-2010,Alabama,Alabama Clearances,166,135,12,2010
01-2011,Alabama,Alabama Clearances,20,9,1,2011
02-2011,Alabama,Alabama Clearances,14,8,2,2011
03-2011,Alabama,Alabama Clearances,27,15,3,2011
04-2011,Alabama,Alabama Clearances,22,8,4,2011
05-2011,Alabama,Alabama Clearances,29,14,5,2011
06-2011,Alabama,Alabama Clearances,38,19,6,2011
07-2011,Alabama,Alabama Clearances,29,12,7,2011
08-2011,Alabama,Alabama Clearances,22,13,8,2011
09-2011,Alabama,Alabama Clearances,23,11,9,2011
10-2011,Alabama,Alabama Clearances,27,18,10,2011
11-2011,Alabama,Alabama Clearances,17,5,11,2011
12-2011,Alabama,Alabama Clearances,28,19,12,2011
01-2012,Alabama,Alabama Clearances,11,8,1,2012
02-2012,Alabama,Alabama Clearances,14,9,2,2012
03-2012,Alabama,Alabama Clearances,15,12,3,2012
04-2012,Alabama,Alabama Clearances,11,7,4,2012
05-2012,Alabama,Alabama Clearances,17,9,5,2012
06-2012,Alabama,Alabama Clearances,35,18,6,2012
07-2012,Alabama,Alabama Clearances,11,8,7,2012
08-2012,Alabama,Alabama Clearances,15,9,8,2012
09-2012,Alabama,Alabama Clearances,22,18,9,2012
10-2012,Alabama,Alabama Clearances,24,14,10,2012
11-2012,Alabama,Alabama Clearances,11,3,11,2012
12-2012,Alabama,Alabama Clearances,150,14,12,2012
01-2013,Alabama,Alabama Clearances,18,15,1,2013
02-2013,Alabama,Alabama Clearances,18,12,2,2013
03-2013,Alabama,Alabama Clearances,28,23,3,2013
04-2013,Alabama,Alabama Clearances,24,16,4,2013
05-2013,Alabama,Alabama Clearances,14,10,5,2013
06-2013,Alabama,Alabama Clearances,35,25,6,2013
07-2013,Alabama,Alabama Clearances,21,15,7,2013
08-2013,Alabama,Alabama Clearances,30,23,8,2013
09-2013,Alabama,Alabama Clearances,23,16,9,2013
10-2013,Alabama,Alabama Clearances,27,13,10,2013
11-2013,Alabama,Alabama Clearances,24,10,11,2013
12-2013,Alabama,Alabama Clearances,33,19,12,2013
01-2014,Alabama,Alabama Clearances,23,13,1,2014
02-2014,Alabama,Alabama Clearances,12,6,2,2014
03-2014,Alabama,Alabama Clearances,26,16,3,2014
04-2014,Alabama,Alabama Clearances,32,24,4,2014
05-2014,Alabama,Alabama Clearances,22,13,5,2014
06-2014,Alabama,Alabama Clearances,21,14,6,2014
07-2014,Alabama,Alabama Clearances,20,12,7,2014
08-2014,Alabama,Alabama Clearances,28,17,8,2014
09-2014,Alabama,Alabama Clearances,19,8,9,2014
10-2014,Alabama,Alabama Clearances,25,8,10,2014
11-2014,Alabama,Alabama Clearances,20,10,11,2014
12-2014,Alabama,Alabama Clearances,21,11,12,2014
01-2015,Alabama,Alabama Clearances,28,17,1,2015
02-2015,Alabama,Alabama Clearances,26,17,2,2015
03-2015,Alabama,Alabama Clearances,28,16,3,2015
04-2015,Alabama,Alabama Clearances,26,13,4,2015
05-2015,Alabama,Alabama Clearances,32,14,5,2015
06-2015,Alabama,Alabama Clearances,20,6,6,2015
07-2015,Alabama,Alabama Clearances,36,17,7,2015
08-2015,Alabama,Alabama Clearances,25,14,8,2015
09-2015,Alabama,Alabama Clearances,23,10,9,2015
10-2015,Alabama,Alabama Clearances,36,23,10,2015
11-2015,Alabama,Alabama Clearances,33,18,11,2015
12-2015,Alabama,Alabama Clearances,30,13,12,2015
01-2016,Alabama,Alabama Clearances,43,28,1,2016
02-2016,Alabama,Alabama Clearances,32,18,2,2016
03-2016,Alabama,Alabama Clearances,41,25,3,2016
04-2016,Alabama,Alabama Clearances,36,24,4,2016
05-2016,Alabama,Alabama Clearances,37,27,5,2016
06-2016,Alabama,Alabama Clearances,35,25,6,2016
07-2016,Alabama,Alabama Clearances,24,19,7,2016
08-2016,Alabama,Alabama Clearances,24,18,8,2016
09-2016,Alabama,Alabama Clearances,30,20,9,2016
10-2016,Alabama,Alabama Clearances,40,25,10,2016
11-2016,Alabama,Alabama Clearances,23,11,11,2016
12-2016,Alabama,Alabama Clearances,31,17,12,2016
01-2017,Alabama,Alabama Clearances,28,16,1,2017
02-2017,Alabama,Alabama Clearances,38,21,2,2017
03-2017,Alabama,Alabama Clearances,31,14,3,2017
04-2017,Alabama,Alabama Clearances,26,14,4,2017
05-2017,Alabama,Alabama Clearances,36,17,5,2017
06-2017,Alabama,Alabama Clearances,31,17,6,2017
07-2017,Alabama,Alabama Clearances,51,32,7,2017
08-2017,Alabama,Alabama Clearances,41,22,8,2017
09-2017,Alabama,Alabama Clearances,32,22,9,2017
10-2017,Alabama,Alabama Clearances,26,10,10,2017
11-2017,Alabama,Alabama Clearances,33,14,11,2017
12-2017,Alabama,Alabama Clearances,24,15,12,2017
01-2018,Alabama,Alabama Clearances,37,22,1,2018
02-2018,Alabama,Alabama Clearances,33,14,2,2018
03-2018,Alabama,Alabama Clearances,37,25,3,2018
04-2018,Alabama,Alabama Clearances,22,10,4,2018
05-2018,Alabama,Alabama Clearances,25,13,5,2018
06-2018,Alabama,Alabama Clearances,29,8,6,2018
07-2018,Alabama,Alabama Clearances,47,23,7,2018
08-2018,Alabama,Alabama Clearances,27,14,8,2018
09-2018,Alabama,Alabama Clearances,33,17,9,2018
10-2018,Alabama,Alabama Clearances,20,9,10,2018
11-2018,Alabama,Alabama Clearances,25,12,11,2018
12-2018,Alabama,Alabama Clearances,28,9,12,2018
01-2019,Alabama,Alabama Clearances,15,7,1,2019
02-2019,Alabama,Alabama Clearances,21,10,2,2019
03-2019,Alabama,Alabama Clearances,18,12,3,2019
04-2019,Alabama,Alabama Clearances,14,12,4,2019
05-2019,Alabama,Alabama Clearances,21,12,5,2019
06-2019,Alabama,Alabama Clearances,17,9,6,2019
07-2019,Alabama,Alabama Clearances,15,9,7,2019
08-2019,Alabama,Alabama Clearances,10,5,8,2019
09-2019,Alabama,Alabama Clearances,2,3,9,2019
10-2019,Alabama,Alabama Clearances,4,2,10,2019
11-2019,Alabama,Alabama Clearances,1,1,11,2019
12-2019,Alabama,Alabama Clearances,1,0,12,2019
01-2020,Alabama,Alabama Clearances,39,18,1,2020
02-2020,Alabama,Alabama Clearances,26,11,2,2020
03-2020,Alabama,Alabama Clearances,32,18,3,2020
04-2020,Alabama,Alabama Clearances,42,19,4,2020
05-2020,Alabama,Alabama Clearances,24,10,5,2020
06-2020,Alabama,Alabama Clearances,20,12,6,2020
07-2020,Alabama,Alabama Clearances,18,9,7,2020
08-2020,Alabama,Alabama Clearances,13,7,8,2020
09-2020,Alabama,Alabama Clearances,12,3,9,2020
10-2020,Alabama,Alabama Clearances,5,4,10,2020
11-2020,Alabama,Alabama Clearances,4,2,11,2020
12-2020,Alabama,Alabama Clearances,6,5,12,2020
01-2021,Alabama,Alabama Clearances,30,15,1,2021
02-2021,Alabama,Alabama Clearances,23,10,2,2021
03-2021,Alabama,Alabama Clearances,31,15,3,2021
04-2021,Alabama,Alabama Clearances,34,20,4,2021
05-2021,Alabama,Alabama Clearances,36,12,5,2021
06-2021,Alabama,Alabama Clearances,32,14,6,2021
07-2021,Alabama,Alabama Clearances,47,18,7,2021
08-2021,Alabama,Alabama Clearances,35,20,8,2021
09-2021,Alabama,Alabama Clearances,31,12,9,2021
10-2021,Alabama,Alabama Clearances,37,15,10,2021
11-2021,Alabama,Alabama Clearances,43,20,11,2021
12-2021,Alabama,Alabama Clearances,43,17,12,2021
01-2022,Alabama,Alabama Clearances,41,26,1,2022
02-2022,Alabama,Alabama Clearances,40,17,2,2022
03-2022,Alabama,Alabama Clearances,43,24,3,2022
04-2022,Alabama,Alabama Clearances,41,26,4,2022
05-2022,Alabama,Alabama Clearances,36,22,5,2022
06-2022,Alabama,Alabama Clearances,49,27,6,2022
07-2022,Alabama,Alabama Clearances,58,33,7,2022
08-2022,Alabama,Alabama Clearances,39,31,8,2022
09-2022,Alabama,Alabama Clearances,54,17,9,2022
10-2022,Alabama,Alabama Clearances,40,20,10,2022
11-2022,Alabama,Alabama Clearances,40,15,11,2022
12-2022,Alabama,Alabama Clearances,41,24,12,2022
01-2023,Alabama,Alabama Clearances,43,28,1,2023
02-2023,Alabama,Alabama Clearances,40,26,2,2023
03-2023,Alabama,Alabama Clearances,50,29,3,2023
04-2023,Alabama,Alabama Clearances,37,28,4,2023
05-2023,Alabama,Alabama Clearances,46,23,5,2023
06-2023,Alabama,Alabama Clearances,41,23,6,2023
07-2023,Alabama,Alabama Clearances,35,18,7,2023
08-2023,Alabama,Alabama Clearances,35,27,8,2023
09-2023,Alabama,Alabama Clearances,43,19,9,2023
10-2023,Alabama,Alabama Clearances,51,25,10,2023
11-2023,Alabama,Alabama Clearances,42,19,11,2023
12-2023,Alabama,Alabama Clearances,39,23,12,2023
01-2024,Alabama,Alabama Clearances,25,17,1,2024
02-2024,Alabama,Alabama Clearances,34,13,2,2024
03-2024,Alabama,Alabama Clearances,35,27,3,2024
04-2024,Alabama,Alabama Clearances,39,20,4,2024
05-2024,Alabama,Alabama Clearances,43,26,5,2024
06-2024,Alabama,Alabama Clearances,45,21,6,2024
07-2024,Alabama,Alabama Clearances,45,22,7,2024
08-2024,Alabama,Alabama Clearances,42,26,8,2024
09-2024,Alabama,Alabama Clearances,43,21,9,2024
10-2024,Alabama,Alabama Clearances,36,18,10,2024
11-2024,Alabama,Alabama Clearances,35,20,11,2024
12-2024,Alabama,Alabama Clearances,41,17,12,2024
01-2025,Alabama,Alabama Clearances,44,35,1,2025
