Countyfips,State,Year,Total Population
0,U.S.,1990,249622814
0,U.S.,1991,252980941
0,U.S.,1992,256514224
0,U.S.,1993,259918588
0,U.S.,1994,263125821
0,U.S.,1995,266278393
0,U.S.,1996,269394284
0,U.S.,1997,272646925
0,U.S.,1998,275854104
0,U.S.,1999,279040168
0,U.S.,2000,282162411
0,U.S.,2001,284968955
0,U.S.,2002,287625193
0,U.S.,2003,290107933
0,U.S.,2004,292805298
0,U.S.,2005,295516599
0,U.S.,2006,298379912
0,U.S.,2007,301231207
0,U.S.,2008,304093966
0,U.S.,2009,306771529
0,U.S.,2010,309327143
0,U.S.,2011,311583481
0,U.S.,2012,313877662
0,U.S.,2013,316059947
0,U.S.,2014,318386329
0,U.S.,2015,320738994
0,U.S.,2016,323071755
0,U.S.,2017,325122128
0,U.S.,2018,326838199
0,U.S.,2019,328329953
0,U.S.,2020,331577720
0,U.S.,2021,332099760
0,U.S.,2022,334017321
0,U.S.,2023,336806231
0,U.S.,2024,340110988
0,Alabama,1990,4050055
0,Alabama,1991,4099156
0,Alabama,1992,4154014
0,Alabama,1993,4214202
0,Alabama,1994,4260229
0,Alabama,1995,4296800
0,Alabama,1996,4331103
0,Alabama,1997,4367935
0,Alabama,1998,4404701
0,Alabama,1999,4430141
0,Alabama,2000,4452173
0,Alabama,2001,4467634
0,Alabama,2002,4480089
0,Alabama,2003,4503491
0,Alabama,2004,4530729
0,Alabama,2005,4569805
0,Alabama,2006,4628981
0,Alabama,2007,4672840
0,Alabama,2008,4718206
0,Alabama,2009,4757938
0,Alabama,2010,4785514
0,Alabama,2011,4799642
0,Alabama,2012,4816632
0,Alabama,2013,4831586
0,Alabama,2014,4843737
0,Alabama,2015,4854803
0,Alabama,2016,4866824
0,Alabama,2017,4877989
0,Alabama,2018,4891628
0,Alabama,2019,4907965
0,Alabama,2020,5033094
0,Alabama,2021,5049196
0,Alabama,2022,5076181
0,Alabama,2023,5117673
0,Alabama,2024,5157699
0,Alaska,1990,553290
0,Alaska,1991,570193
0,Alaska,1992,588736
0,Alaska,1993,599434
0,Alaska,1994,603308
0,Alaska,1995,604412
0,Alaska,1996,608569
0,Alaska,1997,612968
0,Alaska,1998,619933
0,Alaska,1999,624779
0,Alaska,2000,627963
0,Alaska,2001,633714
0,Alaska,2002,642337
0,Alaska,2003,648414
0,Alaska,2004,659286
0,Alaska,2005,666946
0,Alaska,2006,675302
0,Alaska,2007,680300
0,Alaska,2008,687455
0,Alaska,2009,698895
0,Alaska,2010,713982
0,Alaska,2011,722349
0,Alaska,2012,730810
0,Alaska,2013,737626
0,Alaska,2014,737075
0,Alaska,2015,738430
0,Alaska,2016,742575
0,Alaska,2017,740983
0,Alaska,2018,736624
0,Alaska,2019,733603
0,Alaska,2020,733017
0,Alaska,2021,734420
0,Alaska,2022,734442
0,Alaska,2023,736510
0,Alaska,2024,740133
0,Arizona,1990,3684097
0,Arizona,1991,3788576
0,Arizona,1992,3915740
0,Arizona,1993,4065440
0,Arizona,1994,4245089
0,Arizona,1995,4432499
0,Arizona,1996,4586940
0,Arizona,1997,4736990
0,Arizona,1998,4883342
0,Arizona,1999,5023823
0,Arizona,2000,5160586
0,Arizona,2001,5273477
0,Arizona,2002,5396255
0,Arizona,2003,5510364
0,Arizona,2004,5652404
0,Arizona,2005,5839077
0,Arizona,2006,6029141
0,Arizona,2007,6167681
0,Arizona,2008,6280362
0,Arizona,2009,6343154
0,Arizona,2010,6407342
0,Arizona,2011,6473416
0,Arizona,2012,6556344
0,Arizona,2013,6634690
0,Arizona,2014,6732873
0,Arizona,2015,6832810
0,Arizona,2016,6944767
0,Arizona,2017,7048088
0,Arizona,2018,7164228
0,Arizona,2019,7291843
0,Arizona,2020,7187135
0,Arizona,2021,7274078
0,Arizona,2022,7377566
0,Arizona,2023,7473027
0,Arizona,2024,7582384
0,Arkansas,1990,2356586
0,Arkansas,1991,2383144
0,Arkansas,1992,2415984
0,Arkansas,1993,2456303
0,Arkansas,1994,2494019
0,Arkansas,1995,2535399
0,Arkansas,1996,2572109
0,Arkansas,1997,2601091
0,Arkansas,1998,2626289
0,Arkansas,1999,2651860
0,Arkansas,2000,2678588
0,Arkansas,2001,2691571
0,Arkansas,2002,2705927
0,Arkansas,2003,2724816
0,Arkansas,2004,2749686
0,Arkansas,2005,2781097
0,Arkansas,2006,2821761
0,Arkansas,2007,2848650
0,Arkansas,2008,2874554
0,Arkansas,2009,2896843
0,Arkansas,2010,2921998
0,Arkansas,2011,2941038
0,Arkansas,2012,2952876
0,Arkansas,2013,2960459
0,Arkansas,2014,2968759
0,Arkansas,2015,2979732
0,Arkansas,2016,2991815
0,Arkansas,2017,3003855
0,Arkansas,2018,3012161
0,Arkansas,2019,3020985
0,Arkansas,2020,3014546
0,Arkansas,2021,3026870
0,Arkansas,2022,3047704
0,Arkansas,2023,3069463
0,Arkansas,2024,3088354
0,California,1990,29959515
0,California,1991,30470736
0,California,1992,30974659
0,California,1993,31274928
0,California,1994,31484435
0,California,1995,31696582
0,California,1996,32018834
0,California,1997,32486010
0,California,1998,32987675
0,California,1999,33499204
0,California,2000,33987977
0,California,2001,34479458
0,California,2002,34871843
0,California,2003,35253159
0,California,2004,35574576
0,California,2005,35827943
0,California,2006,36021202
0,California,2007,36250311
0,California,2008,36604337
0,California,2009,36961229
0,California,2010,37319550
0,California,2011,37636311
0,California,2012,37944551
0,California,2013,38253768
0,California,2014,38586706
0,California,2015,38904296
0,California,2016,39149186
0,California,2017,39337785
0,California,2018,39437463
0,California,2019,39437610
0,California,2020,39521958
0,California,2021,39142565
0,California,2022,39142414
0,California,2023,39198693
0,California,2024,39431263
0,Colorado,1990,3307618
0,Colorado,1991,3387119
0,Colorado,1992,3495939
0,Colorado,1993,3613734
0,Colorado,1994,3724168
0,Colorado,1995,3826653
0,Colorado,1996,3919972
0,Colorado,1997,4018293
0,Colorado,1998,4116639
0,Colorado,1999,4226018
0,Colorado,2000,4326921
0,Colorado,2001,4425687
0,Colorado,2002,4490406
0,Colorado,2003,4528732
0,Colorado,2004,4575013
0,Colorado,2005,4631888
0,Colorado,2006,4720423
0,Colorado,2007,4803868
0,Colorado,2008,4889730
0,Colorado,2009,4972195
0,Colorado,2010,5047539
0,Colorado,2011,5121900
0,Colorado,2012,5193660
0,Colorado,2013,5270774
0,Colorado,2014,5352637
0,Colorado,2015,5454328
0,Colorado,2016,5543844
0,Colorado,2017,5617421
0,Colorado,2018,5697155
0,Colorado,2019,5758486
0,Colorado,2020,5787129
0,Colorado,2021,5814036
0,Colorado,2022,5850935
0,Colorado,2023,5901339
0,Colorado,2024,5957493
0,Connecticut,1990,3291967
0,Connecticut,1991,3302895
0,Connecticut,1992,3300712
0,Connecticut,1993,3309175
0,Connecticut,1994,3316121
0,Connecticut,1995,3324144
0,Connecticut,1996,3336685
0,Connecticut,1997,3349348
0,Connecticut,1998,3365352
0,Connecticut,1999,3386401
0,Connecticut,2000,3411777
0,Connecticut,2001,3432835
0,Connecticut,2002,3458749
0,Connecticut,2003,3484336
0,Connecticut,2004,3496094
0,Connecticut,2005,3506956
0,Connecticut,2006,3517460
0,Connecticut,2007,3527270
0,Connecticut,2008,3545579
0,Connecticut,2009,3561807
0,Connecticut,2010,3579173
0,Connecticut,2011,3588632
0,Connecticut,2012,3595211
0,Connecticut,2013,3595792
0,Connecticut,2014,3595697
0,Connecticut,2015,3588561
0,Connecticut,2016,3579830
0,Connecticut,2017,3575324
0,Connecticut,2018,3574561
0,Connecticut,2019,3566022
0,Connecticut,2020,3579918
0,Connecticut,2021,3606607
0,Connecticut,2022,3617925
0,Connecticut,2023,3643023
0,Connecticut,2024,3675069
0,Delaware,1990,669567
0,Delaware,1991,683080
0,Delaware,1992,694927
0,Delaware,1993,706378
0,Delaware,1994,717545
0,Delaware,1995,729735
0,Delaware,1996,740978
0,Delaware,1997,751487
0,Delaware,1998,763335
0,Delaware,1999,774990
0,Delaware,2000,786373
0,Delaware,2001,795699
0,Delaware,2002,806169
0,Delaware,2003,818003
0,Delaware,2004,830803
0,Delaware,2005,845150
0,Delaware,2006,859268
0,Delaware,2007,871749
0,Delaware,2008,883874
0,Delaware,2009,891730
0,Delaware,2010,899647
0,Delaware,2011,907590
0,Delaware,2012,915518
0,Delaware,2013,924062
0,Delaware,2014,933131
0,Delaware,2015,942065
0,Delaware,2016,949989
0,Delaware,2017,957942
0,Delaware,2018,966985
0,Delaware,2019,976668
0,Delaware,2020,991928
0,Delaware,2021,1005062
0,Delaware,2022,1020625
0,Delaware,2023,1036423
0,Delaware,2024,1051917
0,District of Columbia,1990,605321
0,District of Columbia,1991,600870
0,District of Columbia,1992,597567
0,District of Columbia,1993,595302
0,District of Columbia,1994,589240
0,District of Columbia,1995,580519
0,District of Columbia,1996,572379
0,District of Columbia,1997,567739
0,District of Columbia,1998,565232
0,District of Columbia,1999,570220
0,District of Columbia,2000,572046
0,District of Columbia,2001,574504
0,District of Columbia,2002,573158
0,District of Columbia,2003,568502
0,District of Columbia,2004,567754
0,District of Columbia,2005,567136
0,District of Columbia,2006,570681
0,District of Columbia,2007,574404
0,District of Columbia,2008,580236
0,District of Columbia,2009,592228
0,District of Columbia,2010,605282
0,District of Columbia,2011,620290
0,District of Columbia,2012,635737
0,District of Columbia,2013,651559
0,District of Columbia,2014,663603
0,District of Columbia,2015,677014
0,District of Columbia,2016,687576
0,District of Columbia,2017,697079
0,District of Columbia,2018,704147
0,District of Columbia,2019,708253
0,District of Columbia,2020,670917
0,District of Columbia,2021,669256
0,District of Columbia,2022,676725
0,District of Columbia,2023,687324
0,District of Columbia,2024,702250
0,Florida,1990,13033307
0,Florida,1991,13369798
0,Florida,1992,13650553
0,Florida,1993,13927185
0,Florida,1994,14239444
0,Florida,1995,14537875
0,Florida,1996,14853360
0,Florida,1997,15186304
0,Florida,1998,15486559
0,Florida,1999,15759421
0,Florida,2000,16047515
0,Florida,2001,16356966
0,Florida,2002,16689370
0,Florida,2003,17004085
0,Florida,2004,17415318
0,Florida,2005,17842038
0,Florida,2006,18166990
0,Florida,2007,18367842
0,Florida,2008,18527305
0,Florida,2009,18652644
0,Florida,2010,18846143
0,Florida,2011,19055607
0,Florida,2012,19302016
0,Florida,2013,19551678
0,Florida,2014,19853880
0,Florida,2015,20219111
0,Florida,2016,20627237
0,Florida,2017,20977089
0,Florida,2018,21254926
0,Florida,2019,21492056
0,Florida,2020,21592035
0,Florida,2021,21831949
0,Florida,2022,22379312
0,Florida,2023,22904868
0,Florida,2024,23372215
0,Georgia,1990,6512602
0,Georgia,1991,6653005
0,Georgia,1992,6817203
0,Georgia,1993,6978240
0,Georgia,1994,7157165
0,Georgia,1995,7328413
0,Georgia,1996,7501069
0,Georgia,1997,7685099
0,Georgia,1998,7863536
0,Georgia,1999,8045965
0,Georgia,2000,8227303
0,Georgia,2001,8377038
0,Georgia,2002,8508256
0,Georgia,2003,8622793
0,Georgia,2004,8769252
0,Georgia,2005,8925922
0,Georgia,2006,9155813
0,Georgia,2007,9349988
0,Georgia,2008,9504843
0,Georgia,2009,9620846
0,Georgia,2010,9712209
0,Georgia,2011,9803630
0,Georgia,2012,9903580
0,Georgia,2013,9975592
0,Georgia,2014,10071204
0,Georgia,2015,10183353
0,Georgia,2016,10308442
0,Georgia,2017,10417031
0,Georgia,2018,10519389
0,Georgia,2019,10628020
0,Georgia,2020,10732888
0,Georgia,2021,10792060
0,Georgia,2022,10931805
0,Georgia,2023,11064432
0,Georgia,2024,11180878
0,Hawaii,1990,1113491
0,Hawaii,1991,1136754
0,Hawaii,1992,1158613
0,Hawaii,1993,1172838
0,Hawaii,1994,1187536
0,Hawaii,1995,1196854
0,Hawaii,1996,1203755
0,Hawaii,1997,1211640
0,Hawaii,1998,1215233
0,Hawaii,1999,1210300
0,Hawaii,2000,1213519
0,Hawaii,2001,1225948
0,Hawaii,2002,1239613
0,Hawaii,2003,1251154
0,Hawaii,2004,1273569
0,Hawaii,2005,1292729
0,Hawaii,2006,1309731
0,Hawaii,2007,1315675
0,Hawaii,2008,1332213
0,Hawaii,2009,1346717
0,Hawaii,2010,1364004
0,Hawaii,2011,1379562
0,Hawaii,2012,1395199
0,Hawaii,2013,1408822
0,Hawaii,2014,1415335
0,Hawaii,2015,1422999
0,Hawaii,2016,1428885
0,Hawaii,2017,1425763
0,Hawaii,2018,1423102
0,Hawaii,2019,1415615
0,Hawaii,2020,1451252
0,Hawaii,2021,1447029
0,Hawaii,2022,1440359
0,Hawaii,2023,1441387
0,Hawaii,2024,1446146
0,Idaho,1990,1012384
0,Idaho,1991,1041316
0,Idaho,1992,1071685
0,Idaho,1993,1108768
0,Idaho,1994,1145140
0,Idaho,1995,1177322
0,Idaho,1996,1203083
0,Idaho,1997,1228520
0,Idaho,1998,1252330
0,Idaho,1999,1275674
0,Idaho,2000,1299430
0,Idaho,2001,1319962
0,Idaho,2002,1340372
0,Idaho,2003,1363380
0,Idaho,2004,1391802
0,Idaho,2005,1428241
0,Idaho,2006,1468669
0,Idaho,2007,1505105
0,Idaho,2008,1534320
0,Idaho,2009,1554439
0,Idaho,2010,1570819
0,Idaho,2011,1584272
0,Idaho,2012,1595910
0,Idaho,2013,1612053
0,Idaho,2014,1632248
0,Idaho,2015,1652495
0,Idaho,2016,1684036
0,Idaho,2017,1719745
0,Idaho,2018,1752074
0,Idaho,2019,1789060
0,Idaho,2020,1849415
0,Idaho,2021,1904848
0,Idaho,2022,1944299
0,Idaho,2023,1971122
0,Idaho,2024,2001619
0,Illinois,1990,11453316
0,Illinois,1991,11568964
0,Illinois,1992,11694184
0,Illinois,1993,11809579
0,Illinois,1994,11912585
0,Illinois,1995,12008437
0,Illinois,1996,12101997
0,Illinois,1997,12185715
0,Illinois,1998,12271847
0,Illinois,1999,12359020
0,Illinois,2000,12434161
0,Illinois,2001,12488445
0,Illinois,2002,12525556
0,Illinois,2003,12556006
0,Illinois,2004,12589773
0,Illinois,2005,12609903
0,Illinois,2006,12643955
0,Illinois,2007,12695866
0,Illinois,2008,12747038
0,Illinois,2009,12796778
0,Illinois,2010,12840545
0,Illinois,2011,12867783
0,Illinois,2012,12883029
0,Illinois,2013,12895778
0,Illinois,2014,12885092
0,Illinois,2015,12859585
0,Illinois,2016,12821709
0,Illinois,2017,12779893
0,Illinois,2018,12724685
0,Illinois,2019,12667017
0,Illinois,2020,12799088
0,Illinois,2021,12700641
0,Illinois,2022,12621821
0,Illinois,2023,12642259
0,Illinois,2024,12710158
0,Indiana,1990,5557798
0,Indiana,1991,5616388
0,Indiana,1992,5674547
0,Indiana,1993,5739019
0,Indiana,1994,5793526
0,Indiana,1995,5851459
0,Indiana,1996,5906013
0,Indiana,1997,5955267
0,Indiana,1998,5998881
0,Indiana,1999,6044970
0,Indiana,2000,6091866
0,Indiana,2001,6127760
0,Indiana,2002,6155967
0,Indiana,2003,6196638
0,Indiana,2004,6233007
0,Indiana,2005,6278616
0,Indiana,2006,6332669
0,Indiana,2007,6379599
0,Indiana,2008,6424806
0,Indiana,2009,6459325
0,Indiana,2010,6490555
0,Indiana,2011,6517250
0,Indiana,2012,6538989
0,Indiana,2013,6570575
0,Indiana,2014,6596019
0,Indiana,2015,6611442
0,Indiana,2016,6637898
0,Indiana,2017,6662068
0,Indiana,2018,6698481
0,Indiana,2019,6731010
0,Indiana,2020,6790497
0,Indiana,2021,6815907
0,Indiana,2022,6844545
0,Indiana,2023,6880131
0,Indiana,2024,6924275
0,Iowa,1990,2781018
0,Iowa,1991,2797613
0,Iowa,1992,2818401
0,Iowa,1993,2836972
0,Iowa,1994,2850746
0,Iowa,1995,2867373
0,Iowa,1996,2880001
0,Iowa,1997,2891119
0,Iowa,1998,2902872
0,Iowa,1999,2917634
0,Iowa,2000,2929067
0,Iowa,2001,2931997
0,Iowa,2002,2934234
0,Iowa,2003,2941999
0,Iowa,2004,2953635
0,Iowa,2005,2964454
0,Iowa,2006,2982644
0,Iowa,2007,2999212
0,Iowa,2008,3016734
0,Iowa,2009,3032870
0,Iowa,2010,3050819
0,Iowa,2011,3066772
0,Iowa,2012,3076844
0,Iowa,2013,3093935
0,Iowa,2014,3110643
0,Iowa,2015,3122541
0,Iowa,2016,3133210
0,Iowa,2017,3143734
0,Iowa,2018,3149900
0,Iowa,2019,3159596
0,Iowa,2020,3191141
0,Iowa,2021,3198613
0,Iowa,2022,3202820
0,Iowa,2023,3218414
0,Iowa,2024,3241488
0,Kansas,1990,2481349
0,Kansas,1991,2498722
0,Kansas,1992,2532395
0,Kansas,1993,2556547
0,Kansas,1994,2580513
0,Kansas,1995,2601008
0,Kansas,1996,2614554
0,Kansas,1997,2635292
0,Kansas,1998,2660598
0,Kansas,1999,2678338
0,Kansas,2000,2693681
0,Kansas,2001,2702162
0,Kansas,2002,2713535
0,Kansas,2003,2723004
0,Kansas,2004,2734373
0,Kansas,2005,2745299
0,Kansas,2006,2762931
0,Kansas,2007,2783785
0,Kansas,2008,2808076
0,Kansas,2009,2832704
0,Kansas,2010,2858266
0,Kansas,2011,2869677
0,Kansas,2012,2886024
0,Kansas,2013,2894306
0,Kansas,2014,2901861
0,Kansas,2015,2910717
0,Kansas,2016,2912977
0,Kansas,2017,2910892
0,Kansas,2018,2912748
0,Kansas,2019,2912635
0,Kansas,2020,2938172
0,Kansas,2021,2938338
0,Kansas,2022,2937324
0,Kansas,2023,2951500
0,Kansas,2024,2970606
0,Kentucky,1990,3694048
0,Kentucky,1991,3722328
0,Kentucky,1992,3765469
0,Kentucky,1993,3812206
0,Kentucky,1994,3849088
0,Kentucky,1995,3887427
0,Kentucky,1996,3919536
0,Kentucky,1997,3952747
0,Kentucky,1998,3985391
0,Kentucky,1999,4018053
0,Kentucky,2000,4049021
0,Kentucky,2001,4068132
0,Kentucky,2002,4089875
0,Kentucky,2003,4117170
0,Kentucky,2004,4146101
0,Kentucky,2005,4182742
0,Kentucky,2006,4219239
0,Kentucky,2007,4256672
0,Kentucky,2008,4289878
0,Kentucky,2009,4317074
0,Kentucky,2010,4348464
0,Kentucky,2011,4370817
0,Kentucky,2012,4387865
0,Kentucky,2013,4406906
0,Kentucky,2014,4416992
0,Kentucky,2015,4429126
0,Kentucky,2016,4440306
0,Kentucky,2017,4455590
0,Kentucky,2018,4464273
0,Kentucky,2019,4472345
0,Kentucky,2020,4508318
0,Kentucky,2021,4507583
0,Kentucky,2022,4519233
0,Kentucky,2023,4550595
0,Kentucky,2024,4588372
0,Louisiana,1990,4221532
0,Louisiana,1991,4253279
0,Louisiana,1992,4293003
0,Louisiana,1993,4316428
0,Louisiana,1994,4347481
0,Louisiana,1995,4378779
0,Louisiana,1996,4398877
0,Louisiana,1997,4421072
0,Louisiana,1998,4440344
0,Louisiana,1999,4460811
0,Louisiana,2000,4471885
0,Louisiana,2001,4477875
0,Louisiana,2002,4497267
0,Louisiana,2003,4521042
0,Louisiana,2004,4552238
0,Louisiana,2005,4576628
0,Louisiana,2006,4302665
0,Louisiana,2007,4375581
0,Louisiana,2008,4435586
0,Louisiana,2009,4491648
0,Louisiana,2010,4544635
0,Louisiana,2011,4576244
0,Louisiana,2012,4602067
0,Louisiana,2013,4626040
0,Louisiana,2014,4645938
0,Louisiana,2015,4666998
0,Louisiana,2016,4681346
0,Louisiana,2017,4673673
0,Louisiana,2018,4664450
0,Louisiana,2019,4658285
0,Louisiana,2020,4652301
0,Louisiana,2021,4627971
0,Louisiana,2022,4593687
0,Louisiana,2023,4588071
0,Louisiana,2024,4597740
0,Maine,1990,1231719
0,Maine,1991,1237081
0,Maine,1992,1238508
0,Maine,1993,1242302
0,Maine,1994,1242662
0,Maine,1995,1243481
0,Maine,1996,1249060
0,Maine,1997,1254774
0,Maine,1998,1259127
0,Maine,1999,1266808
0,Maine,2000,1277072
0,Maine,2001,1285692
0,Maine,2002,1295960
0,Maine,2003,1306513
0,Maine,2004,1313688
0,Maine,2005,1318787
0,Maine,2006,1323619
0,Maine,2007,1327040
0,Maine,2008,1330509
0,Maine,2009,1329590
0,Maine,2010,1327651
0,Maine,2011,1328473
0,Maine,2012,1328094
0,Maine,2013,1328543
0,Maine,2014,1331217
0,Maine,2015,1329098
0,Maine,2016,1332348
0,Maine,2017,1335743
0,Maine,2018,1340123
0,Maine,2019,1345770
0,Maine,2020,1364571
0,Maine,2021,1378931
0,Maine,2022,1390922
0,Maine,2023,1399646
0,Maine,2024,1405012
0,Maryland,1990,4799770
0,Maryland,1991,4867641
0,Maryland,1992,4923369
0,Maryland,1993,4971889
0,Maryland,1994,5023060
0,Maryland,1995,5070033
0,Maryland,1996,5111986
0,Maryland,1997,5157328
0,Maryland,1998,5204464
0,Maryland,1999,5254509
0,Maryland,2000,5311034
0,Maryland,2001,5374691
0,Maryland,2002,5440389
0,Maryland,2003,5496269
0,Maryland,2004,5546935
0,Maryland,2005,5592379
0,Maryland,2006,5627367
0,Maryland,2007,5653408
0,Maryland,2008,5684965
0,Maryland,2009,5730388
0,Maryland,2010,5788784
0,Maryland,2011,5840241
0,Maryland,2012,5888375
0,Maryland,2013,5925197
0,Maryland,2014,5960064
0,Maryland,2015,5988528
0,Maryland,2016,6007014
0,Maryland,2017,6028186
0,Maryland,2018,6042153
0,Maryland,2019,6054954
0,Maryland,2020,6177935
0,Maryland,2021,6179403
0,Maryland,2022,6192440
0,Maryland,2023,6217062
0,Maryland,2024,6263220
0,Massachusetts,1990,6022639
0,Massachusetts,1991,6018470
0,Massachusetts,1992,6028709
0,Massachusetts,1993,6060569
0,Massachusetts,1994,6095241
0,Massachusetts,1995,6141445
0,Massachusetts,1996,6179756
0,Massachusetts,1997,6226058
0,Massachusetts,1998,6271838
0,Massachusetts,1999,6317345
0,Massachusetts,2000,6361104
0,Massachusetts,2001,6397634
0,Massachusetts,2002,6417206
0,Massachusetts,2003,6422565
0,Massachusetts,2004,6412281
0,Massachusetts,2005,6403290
0,Massachusetts,2006,6410084
0,Massachusetts,2007,6431559
0,Massachusetts,2008,6468967
0,Massachusetts,2009,6517613
0,Massachusetts,2010,6566440
0,Massachusetts,2011,6614218
0,Massachusetts,2012,6664269
0,Massachusetts,2013,6715158
0,Massachusetts,2014,6764864
0,Massachusetts,2015,6797484
0,Massachusetts,2016,6827280
0,Massachusetts,2017,6863560
0,Massachusetts,2018,6885720
0,Massachusetts,2019,6894883
0,Massachusetts,2020,6994598
0,Massachusetts,2021,7000474
0,Massachusetts,2022,7022468
0,Massachusetts,2023,7066568
0,Massachusetts,2024,7136171
0,Michigan,1990,9311319
0,Michigan,1991,9400446
0,Michigan,1992,9479065
0,Michigan,1993,9540114
0,Michigan,1994,9597737
0,Michigan,1995,9676211
0,Michigan,1996,9758645
0,Michigan,1997,9809051
0,Michigan,1998,9847942
0,Michigan,1999,9897116
0,Michigan,2000,9952450
0,Michigan,2001,9991120
0,Michigan,2002,10015710
0,Michigan,2003,10041152
0,Michigan,2004,10055315
0,Michigan,2005,10051137
0,Michigan,2006,10036081
0,Michigan,2007,10001284
0,Michigan,2008,9946889
0,Michigan,2009,9901591
0,Michigan,2010,9877597
0,Michigan,2011,9883053
0,Michigan,2012,9898289
0,Michigan,2013,9914802
0,Michigan,2014,9932033
0,Michigan,2015,9934483
0,Michigan,2016,9954117
0,Michigan,2017,9976752
0,Michigan,2018,9987286
0,Michigan,2019,9984795
0,Michigan,2020,10072703
0,Michigan,2021,10041351
0,Michigan,2022,10050877
0,Michigan,2023,10083356
0,Michigan,2024,10140459
0,Minnesota,1990,4389857
0,Minnesota,1991,4440859
0,Minnesota,1992,4495572
0,Minnesota,1993,4555956
0,Minnesota,1994,4610355
0,Minnesota,1995,4660180
0,Minnesota,1996,4712827
0,Minnesota,1997,4763390
0,Minnesota,1998,4813412
0,Minnesota,1999,4873481
0,Minnesota,2000,4933692
0,Minnesota,2001,4982796
0,Minnesota,2002,5018935
0,Minnesota,2003,5053572
0,Minnesota,2004,5087713
0,Minnesota,2005,5119598
0,Minnesota,2006,5163555
0,Minnesota,2007,5207203
0,Minnesota,2008,5247018
0,Minnesota,2009,5281203
0,Minnesota,2010,5310934
0,Minnesota,2011,5346620
0,Minnesota,2012,5377500
0,Minnesota,2013,5414722
0,Minnesota,2014,5452665
0,Minnesota,2015,5484002
0,Minnesota,2016,5525360
0,Minnesota,2017,5569283
0,Minnesota,2018,5608762
0,Minnesota,2019,5640053
0,Minnesota,2020,5710735
0,Minnesota,2021,5718660
0,Minnesota,2022,5721621
0,Minnesota,2023,5753048
0,Minnesota,2024,5793151
0,Mississippi,1990,2578897
0,Mississippi,1991,2598733
0,Mississippi,1992,2623734
0,Mississippi,1993,2655100
0,Mississippi,1994,2688992
0,Mississippi,1995,2722659
0,Mississippi,1996,2748085
0,Mississippi,1997,2777004
0,Mississippi,1998,2804834
0,Mississippi,1999,2828408
0,Mississippi,2000,2848353
0,Mississippi,2001,2852994
0,Mississippi,2002,2858681
0,Mississippi,2003,2868312
0,Mississippi,2004,2889010
0,Mississippi,2005,2905943
0,Mississippi,2006,2904978
0,Mississippi,2007,2928350
0,Mississippi,2008,2947806
0,Mississippi,2009,2958774
0,Mississippi,2010,2970615
0,Mississippi,2011,2979147
0,Mississippi,2012,2984599
0,Mississippi,2013,2989839
0,Mississippi,2014,2991892
0,Mississippi,2015,2990231
0,Mississippi,2016,2990595
0,Mississippi,2017,2990674
0,Mississippi,2018,2982879
0,Mississippi,2019,2978227
0,Mississippi,2020,2958536
0,Mississippi,2021,2947209
0,Mississippi,2022,2941939
0,Mississippi,2023,2943172
0,Mississippi,2024,2943045
0,Missouri,1990,5128880
0,Missouri,1991,5170800
0,Missouri,1992,5217101
0,Missouri,1993,5271175
0,Missouri,1994,5324497
0,Missouri,1995,5378247
0,Missouri,1996,5431553
0,Missouri,1997,5481193
0,Missouri,1998,5521765
0,Missouri,1999,5561948
0,Missouri,2000,5607285
0,Missouri,2001,5641142
0,Missouri,2002,5674825
0,Missouri,2003,5709403
0,Missouri,2004,5747741
0,Missouri,2005,5790300
0,Missouri,2006,5842704
0,Missouri,2007,5887612
0,Missouri,2008,5923916
0,Missouri,2009,5961088
0,Missouri,2010,5996089
